country_name,name,currency_name,exchange_date,conversion_rate
Indonesia                ,Indonesia Rupiah                        ,IDR,30-Jun-23,14987
Iran                     ,Iranian Rial                            ,IRR,30-Jun-23,371934
Iraq                     ,Iraqi Dinar                             ,IQD,30-Jun-23,1310
Ireland                  ,Euro                                    ,EUR,30-Jun-23,0.913
Israel                   ,Israel Shekel                           ,ILS,30-Jun-23,3.651
Italy                    ,Euro                                    ,EUR,30-Jun-23,0.913
Jamaica                  ,Jamaican Dollar                         ,JMD,30-Jun-23,153.021
Japan                    ,Japanese Yen                            ,JPY,30-Jun-23,143.87
Jordan                   ,Jordanian Dinar                         ,JOD,30-Jun-23,0.708
Kazakhstan               ,Kazakhstan Tenge                        ,KZT,30-Jun-23,450.38
Kenya                    ,Kenyan Shilling                         ,KES,30-Jun-23,140.28
Kiribati                 ,Australian Dollar                       ,AUD,30-Jun-23,1.497
"Korea, D.P.R. of         ","Korean Won, North Korea                 ",KPW,30-Jun-23,110
"Korea, Republic of       ","Korean Won, South Korea                 ",KRW,30-Jun-23,1300.03
Kuwait                   ,Kuwaiti Dinar                           ,KWD,30-Jun-23,0.307
Kyrgyzstan               ,Kyrgyzstan Som                          ,KGS,30-Jun-23,87
"Lao, People's Dem. Rep.  ",Laos Kip                                ,LAK,30-Jun-23,18973.68
Latvia                   ,Euro                                    ,EUR,30-Jun-23,0.913
Lebanon                  ,Lebanese Pound                          ,LBP,30-Jun-23,86200
Lesotho                  ,Lesotho Loti                            ,LSL,30-Jun-23,18.513
Liberia                  ,Liberian Dollar                         ,LRD,30-Jun-23,176.175
Libyan Arab Jamahiriya   ,Libyan Dinar                            ,LYD,30-Jun-23,4.834
Liechtenstein            ,Swiss Franc                             ,CHF,30-Jun-23,0.895
Lithuania                ,Euro                                    ,EUR,30-Jun-23,0.913
Luxembourg               ,Euro                                    ,EUR,30-Jun-23,0.913
Macao                    ,Macao Pataca                            ,MOP,30-Jun-23,8.068
Madagascar               ,"Malagasy Ariary, Madagascar             ",MGA,30-Jun-23,4490.2
Malawi                   ,Malawi Kwacha                           ,MWK,30-Jun-23,1063.86
Malaysia                 ,Malaysia Ringgit                        ,MYR,30-Jun-23,4.664
Maldives                 ,Maldives Rufiyaa                        ,MVR,30-Jun-23,15
Mali                     ,CFA Franc                               ,XOF,30-Jun-23,599.157
Malta                    ,Euro                                    ,EUR,30-Jun-23,0.913
Marshall Islands         ,US Dollar                               ,USD,30-Jun-23,1
Martinique               ,Euro                                    ,EUR,30-Jun-23,0.913
Mauritania               ,Mauritania Ouguiya                      ,MRU,30-Jun-23,34.3
Mauritius                ,Mauritius Rupee                         ,MUR,30-Jun-23,45.3
Mexico                   ,Mexican Peso                            ,MXN,30-Jun-23,17.07
Micronesia               ,US Dollar                               ,USD,30-Jun-23,1
"Moldova, Republic of     ",Moldovan Leu                            ,MDL,30-Jun-23,18.1
Monaco                   ,Euro                                    ,EUR,30-Jun-23,0.913
Mongolia                 ,Mongolia Tugrik                         ,MNT,30-Jun-23,3424.34
Montenegro               ,Euro                                    ,EUR,30-Jun-23,0.913
Montserrat               ,E.C. Dollar                             ,XCD,30-Jun-23,2.7
Morocco                  ,Morocco Dirham                          ,MAD,30-Jun-23,9.9
Mozambique               ,Mozambique Metical                      ,MZN,30-Jun-23,63.25
Myanmar                  ,Myanmar Kyat                            ,MMK,30-Jun-23,2100
Namibia                  ,Namibia Dollar                          ,NAD,30-Jun-23,18.513
Nauru                    ,Australian Dollar                       ,AUD,30-Jun-23,1.497
Nepal                    ,Nepalese Rupee                          ,NPR,30-Jun-23,131.109
Netherlands              ,Euro                                    ,EUR,30-Jun-23,0.913
